,Unnamed: 0,Unnamed: 0.1,hid,建案名稱,每坪單價(萬元/坪),每坪單價(低),每坪單價(高),均價,基地地址-縣市,基地地址-鄉鎮區,基地地址,格局規劃,交屋時間,預期完工,基地面積(坪),棟戶規劃,樓層規劃,結構工程,用途規劃,土地分區,投資建設,建材說明,建築設計,營造公司,建造執照,使用執照
0,0,0,115256,小春日和,24~26萬元/坪,24.0,26.0,25.0,台中市,北屯區,景賢南二路,二房(25.09坪)、三房(40.57坪)、2+1房(33.7坪),,2019年下半年,606,1棟，121戶住家，5戶店面,地上15層，地下4層,RC,住商用,第三之ㄧ種商業區,和築建設股份有限公司,暫無,吳六合建築師事務所,國城營造有限公司,104中都建字第00701號,暫無
1,1,1,116867,IG愛家,17~19萬元/坪,17.0,19.0,18.0,高雄市,楠梓區,通昌街88號,二房(23~25坪)、三房(35~47坪),時間待定,,498,1棟，109戶住家，2戶店面,地上15層，地下3層,RC,住商用,第四種住宅區,城揚建設股份有限公司,暫無,梁慶源建築師事務所,允良營造有限公司,(104)高市工建築字第02629號,暫無
2,2,2,111953,文賢苑,28~30萬元/坪,28.0,30.0,29.0,高雄市,新興區,七賢二路39號,二房(23~26坪)、三房(34~36坪),隨時交屋,,171.52,1棟，84戶住家，1戶店面,地上15層，地下3層,RC,住家用,暫無,崑郡建設股份有限公司,暫無,林魁建築師事務所,暫無,(103)高市工建築字第01256號,(105)高市工建築使字第00592號
3,3,3,115083,恆上沐悅,23~28萬元/坪,23.0,28.0,25.5,高雄市,三民區,河北二路228號,二房(22~32坪)、三房(48坪),隨時交屋,,304.31,1棟，61戶住家，2戶店面,地上14層，地下3層,RC,住家用,第四種住宅區,恆上建設開發企業股份有限公司,衛浴為和成超級智慧馬桶、TOTO面盆、4合1暖風機、BWT軟水設備；廚具為櫻花；電梯為永大(12人座),林子森、林伯諭,大成工程股份有限公司,(103)高市工建築字第01861號,(106)高市工建築使字第01143號
4,4,4,110896,龍騰城堡,18~21萬元/坪,18.0,21.0,19.5,高雄市,三民區,建興路57號,三房(70~98坪)、四房(84~98坪),隨時交屋,,660,1棟，100戶住家，4戶店面,地上28層，地下6層,SRC,住商用,第四種商業區,龍騰建設股份有限公司,暫無,謝慶旺建築師,天玉營造有限公司,(100)高市工建築字第02356號,(104)高市工建築使字第01923號
5,5,5,115308,多城植哉,25~28萬元/坪,25.0,28.0,26.5,高雄市,左營區,文恩路165號,三房(36~42坪),隨時交屋,,313,1棟，39戶住家，2戶店面,地上12層，地下3層,RC,住家用,第四種住宅區,尚紘建設,廚具：喜特麗；衛浴：TOTO、美標,林子森林伯諭聯合建築師事務所,菩提營造股份有限公司,(104)高市工建築字第01451號,(106)高市工建築使字第01377號
6,6,6,117000,元寶?囍,41萬元/坪,41.0,,41.0,新北市,新店區,光華街10號,二房(26~31坪)、三房(38~39坪),隨時交屋,,368,1棟，88戶住家，4戶店面,地上14層，地下4層,RC,住商用,第二種商業區，第三種住宅區,元寶建設股份有限公司,櫻花雙機，和成免治馬桶，Husky暖風機,李中嫻建築師事務所,美源營造股份有限公司,103店建字第00141號,107店使字第00050號
7,7,7,116434,協和澄心,22~24萬元/坪,22.0,24.0,23.0,台中市,北屯區,太和東街vs太和一街,二房(31~33坪)、三房(36~44坪),,2019年第二季度,493.5,1棟，71戶住家,地上13層，地下3層,RC,住家用,第三種住宅區,協和建設股份有限公司,暫無,吳六合建築師事務所,洛城營造有限公司,105中都建字第00370號,暫無
8,8,8,118228,A8棧,31~33萬元/坪,31.0,33.0,32.0,桃園市,龜山區,復興二路131巷20號,二房(22~30坪)、三房(37坪),2019年4月,,777.12,2棟，73戶住家，10戶店面,地上10層，地下2層,RC,住商用,第二種住宅區,久鈺建設有限公司,廚房：韓國三星人造大理石檯面、櫻花三機 衛浴：和成馬桶、Panasonic暖風排風機 門窗：正新氣密窗 玻璃：台灣玻璃,李俊利建築師事務所,欣洋營造工程股份有限公司,(105)桃市都建執照字第會龜00918-01號,(108)桃市都施使字第龜00027號
9,9,9,118300,昇揚四季文華,33~38萬元/坪,33.0,38.0,35.5,台中市,西屯區,黎明路三段VS漢翔路,三房(28.5~35坪)、四房(42坪),,2022年第四季度,547,1棟，86戶住家，2戶店面,地上20層，地下4層,RC,住商用,第二種住宅區,昇揚開發實業有限公司,暫無,王紹述建築師事務所,建基營造股份有限公司,103中都建字第02151號,暫無
10,10,10,111914,寬境,23~36萬元/坪,23.0,36.0,29.5,高雄市,苓雅區,河北路238號,四房(70~88坪),隨時交屋,,756,1棟，99戶住家,地上27層，地下4層,RC,住家用,第五種住宅區,勤寬建設股份有限公司,YKK鋁門窗、TOTO免治馬桶、GROHE龍頭五金,鄭純茂建築師事務所,義展營造工程股份有限公司,(101)高市工建築字第01408號,(104)高市工建築使字第01760號
11,11,11,112773,晴空SKY1,36~38萬元/坪,36.0,38.0,37.0,新北市,五股區,新五路三段153號,一房(16~18坪)、二房(19~22坪)、三房(33坪),隨時交屋,,1636,2棟，306戶住家，11戶店面,地上19層，地下4層,RC,住家用,住宅區,中德建設股份有限公司,RC鋼筋混凝土構造，櫻花廚具、和成衛浴、SVAGO微烤爐 ,呂建勳建築師事務所,紹華營造股份有限公司,103-00615,106-00322
12,12,12,112449,寶石君品苑,45~55萬元/坪,45.0,55.0,50.0,新北市,三重區,光復路一段46~52號,三房(55坪)、四房(62~70坪)、五房(84坪),隨時交屋,,1543,2棟，200戶住家，4戶店面,地上31層，地下4層,暫無,住家用,暫無,寶石建設,SRC鋼骨鋼筋混凝土，中空樓板，80X80拋光石英磚，TOTO、國際牌全套衛浴，林內廚具，昭和氣密窗，Low-E膠合玻璃，綠建材標章環保塗料,三門建築師事務所,暫無,99-00616,104-00088
13,13,13,114375,聯上V1,23~26萬元/坪,23.0,26.0,24.5,高雄市,新興區,七賢二路57號,二房(24坪)、三房(42坪),隨時交屋,,267,1棟，112戶住家，2戶店面,地上15層，地下5層,RC,住家用,第五種商業區,聯上實業股份有限公司,TOTO衛浴、德國進口LEICHT廚具 ,張文明,美力營造股份有限公司,(103)高市工建築字第00732號,(106)高市工建築使字第00630號
14,14,14,110758,康朋街,23~26萬元/坪,23.0,26.0,24.5,高雄市,三民區,民族一路639號,三房(38坪)、四房(45~52坪),隨時交屋,,472,3棟，98戶住家，4戶店面,地上15層，地下3層,RC,住家用,第五種住宅區,城揚建設,林內三機廚具(落地式烘碗機、雙口玻璃檯面爐；搭配美國杜邦可麗耐檯面、BOSCH嵌入式烤箱)、HCG衛浴(搭配智慧超級馬桶)、德國Grohe水龍頭、WAFERLOCK三合一電子鎖、TOSHIBA電梯(13人座)、冠軍磁磚、中華氣密窗(5+5mm雙強化)、玻纖防火門,梁慶源建築師事務所,允良營造有限公司,(101)高市工建築字第00501號,(105)高市工建築使字第00160號
15,15,15,116030,翔譽愛力,59~68萬元/坪,59.0,68.0,63.5,台北市,內湖區,新明路428巷,二房(21~26坪),,2019年下半年,630,1棟，166戶住家,地上20層，地下4層,RC,住家用,第三住宅區,翔譽國際建設股份有限公司,待定,陳廷杰建築師事務所,泛亞工程,104-0236,暫無
16,16,16,114697,凌波揚,25~37萬元/坪,25.0,37.0,31.0,台南市,中西區,華平路982號,三房(70~100坪),隨時交屋,,801.37,1棟，88戶住家,地上24層，地下4層,RC,住家用,「住四」住宅區,宗大建設股份有限公司,Duravit衛浴；Bulthaup、德匠廚具；三菱電梯(17人座),張景堯、許錦榮,合新營造有限公司,(103)南工造字第00689號,(106)南工使字第02235號
17,17,17,116751,AiCITY樂捷市,25萬元/坪,25.0,,25.0,桃園市,龜山區,樂捷段105-3地號,二房(26坪)、三房(38坪)、1+1房(25坪)、3+1房(44坪),,2019年12月,1848.44,8棟，326戶住家，20戶店面,地上15層，地下3層,RC,住商用,住四,鴻築建設股份有限公司,待定,聶玉璞,國城營造有限公司,106-00372,暫無
18,18,18,110760,GIGA巨蛋核心城,28~30萬元/坪,28.0,30.0,29.0,高雄市,鼓山區,文信路319號之1,三房(40~43坪)、四房(61~71坪),隨時交屋,,800,4棟，182戶住家，8戶店面,地上15層，地下4層,RC,住商用,商4,晟揚建設有限公司,大門採鑄鋁防火鋼木門、義大利CISA頂級鎖匣，搭配三合一電子鎖。廚房啟用美國杜邦人造石檯面、瑞典Electrolux瓦斯爐、德國原裝進口Pronorm系統櫃、BOSCH全嵌式洗碗機、BOSCH嵌入式烤箱(限4房)。兩套四件式衛浴開窗，主臥衛浴採德國Hansgrohe面盆龍頭、美國KOHLER面盆、阿曼米黃石材檯面、美國KOHLER淋浴花灑龍頭、義大利CRISTINA浴缸龍頭、HCG超級馬桶,梁慶源建築師事務所,暫無,102-00094,104-01743
19,19,19,110923,美術綠原道,24~30萬元/坪,24.0,30.0,27.0,高雄市,鼓山區,馬卡道路353號,四房(59~85坪),隨時交屋,,457,1棟，66戶住家，2戶店面,地上19層，地下4層,暫無,住家用,暫無,晟揚建設,暫無,梁慶源建築師事務所,暫無,(100)高市工建築字第00682號,(105)高市工建築使字第01490
20,20,20,110605,湛高峰,27~30萬元/坪,27.0,30.0,28.5,新竹縣,竹北市,莊敬三路250號,四房(55~66坪),隨時交屋,,1496,2棟，268戶住家，7戶店面,地上29層，地下5層,暫無,住家用,暫無,"浩瀚開發建設,豐邑機溝",暫無,王銘鴻,暫無,建101-0522,使104-0221
21,21,21,117674,文化潤隆,24~27萬元/坪,24.0,27.0,25.5,高雄市,苓雅區,三多二路1號(三信家商斜對面),二房(21~27坪)、三房(34~38坪),,2020年下半年,1455,2棟，377戶住家，20戶透天,地上22層，地下3層,RC,住家用,第二種特定商業專用區，第四種住宅區,潤隆建設股份有限公司,INAX衛浴、義大利PAFFONI五金、Lifegear四合一暖風機、櫻花廚具、活水系統設計、當層排氣、雨水回收系統、SA鋼筋續接器、ForceLock二合一電子鎖、,謝慶旺-群旺建築事務所,齊裕營造股份有限公司,(107)高市工建築字第00778-01號,暫無
22,22,22,115355,京城上新光,20~22萬元/坪,20.0,22.0,21.0,台南市,南區水,交社路1號,二房(23~30坪)、三房(39~41坪),隨時交屋,,928,6棟，144戶住家，5戶店面,地上14層，地下3層,RC,住家用,「住七」住宅區，「住二」住宅區，「住五-1」住宅區,京成建設股份有限公司,西班牙賽麗石檯面、林內3機、V&B面盆、GROHE龍頭、KARAT全智能馬桶、Panasonic暖風機,曾永信建築師事務所,百鋐營造股份有限公司,(103)南工造字第03430-02號,(106)南工使字第03234號
23,23,23,113923,文化藏美,37~39萬元/坪,37.0,39.0,38.0,高雄市,苓雅區,青年一路15號,三房(51~73坪),隨時交屋,,330,1棟，50戶住家，2戶店面,地上14層，地下4層,RC,住家用,住宅區,藏真建設股份有限公司,新日鐵製震、全棟淨軟水、昭和氣密窗、Low-E玻璃、中空樓板,呂建勳、張文懋,壬寶營造,(101)高市工建築字第00013號,(105)高市工建築使字第01726號
24,24,24,115193,博識,36萬元/坪,36.0,,36.0,台中市,南屯區,向上路VS河南路口,二房(21~24坪)、三房(36坪)、四房(42~46坪),,2019年下半年,853,1棟，260戶住家，6戶店面,地上24層，地下5層,RC,住商用,第五種住宅區,興富發建設,KARAT衛浴,大容聯合建築師事務所,齊裕營造,105中都建字第02016號,暫無
25,25,25,114065,新潮講義,22.3~25.3萬元/坪,22.3,25.3,23.8,台中市,北屯區,太和路一段與太順五街(角地),二房(25~31坪),,2019年12月,510,1棟，103戶住家，2戶店面,地上11層，地下2層,RC,住商用,第三種住宅區,義昌興建設,TOTO衛浴、馬可貝里磁磚、panasonic暖風機、櫻花整體廚房、BWT全棟過濾淨水，德國超耐磨木地板、鑄鋁鋼板門、維夫拉克電子鎖,莊鴻儒建築師事務所,信濃營造,106中都建字01184號,暫無
26,26,26,117729,言真,49~56萬元/坪,49.0,56.0,52.5,新北市,新莊區,思源路130號,二房(39~40坪)、三房(39~40坪),隨時交屋,,747.31,3棟，102戶住家，1戶店面,地上18層，地下4層,RC,住商用,第二種住宅區,健弘建設有限公司,林內廚具、80*80冠軍地磚、TOTO衛浴,邱垂睿建築師事務所,建程營造工程有限公司,100莊建字第00712號,107莊使字第00310號
27,27,27,108634,情定水蓮no.13,25~29萬元/坪,25.0,29.0,27.0,台中市,北屯區,太順路太順三街交叉口,二房(27~28坪)、三房(36~40坪),隨時交屋,,597,2棟，92戶住家，3戶店面,地上12層，地下3層,暫無,住商用,暫無,辰偉建設,暫無,許獻叡建築師,暫無,103中都建字第02140號,暫無
28,28,28,114517,登陽步康橋,26~29萬元/坪,26.0,29.0,27.5,台中市,大里區,永隆七街VS爽文路,三房(38坪)、四房(50坪),2019年下半年,,514,1棟，120戶住家，3戶店面,地上22層，地下5層,RC,住商用,商業區,登陽建設,TOTO衛浴林內廚具德國木地板,吳六合,呈峰營造,105-00188,暫無
29,29,29,112841,陽光新未來,18~20萬元/坪,18.0,20.0,19.0,高雄市,楠梓區,創新路vs芎林一街,二房(20~22坪)、三房(36~38坪),,2019年12月,926,2棟，278戶住家，15戶店面,地上15層，地下2層,暫無,住家用,商業區(特),藏和建設,暫無,呂建勳,壬寶營造工程股份有限公司,(105)高市工建築字第00016-01號,暫無
30,30,30,117224,尊勝白金,48~53萬元/坪,48.0,53.0,50.5,新北市,新莊區,昌平街.榮華路一段路口,三房(40~55坪),隨時交屋,,573.29,1棟，66戶住家,地上18層，地下3層,RC,住家用,住宅區(二),尊勝建設開發股份有限公司,待定,元宏聯合建築師事務所,百年營造股份有限公司,102莊建字第00050號,107莊使字第00423號
31,31,31,109485,沅林君子硯,35~42萬元/坪,35.0,42.0,38.5,台中市,西屯區,安和路188號,三房(62~67坪)、四房(67坪),隨時交屋,,496,1棟，39戶住家,地上14層，地下3層,RC,住家用,第一之B種住宅區，第二之A種住宅區,沅林建設有限公司,YKK氣密窗德國Leicht廚具,趙英傑建築師事務所,沅昇營造,10200252,10402922
32,32,32,115674,翠堤清靜,21萬元/坪,21.0,,21.0,台中市,北屯區,旱溪西路三段近東山路,二房(23坪)、三房(33~42坪),,2020年第二季度,561.62,1棟，70戶住家,地上15層，地下2層,RC,住家用,第二種住宅區,品順建設股份有限公司,不計雨遮坪數,何朝宗建築師事務所,暫無,106中都建字第02719號,暫無
33,33,33,111824,見山,38~45萬元/坪,38.0,45.0,41.5,台中市,南屯區,永春東一路VS永平路口(豐樂公園對面),四房(73~126坪)、3+1房(73~79坪),2019年下半年,,750,2棟，50戶住家,地上20層，地下3層,RC,住家用,第二種住宅區,同興協記建設,三協氣密窗、KOHLER衛浴、STOSA廚具、MML磁磚、KRONOTEX木地板 ,劉偉彥,陽基營造,103中都建字第02666號,暫無
34,34,34,112038,仁山洺悅,25.5萬元/坪,25.5,,25.5,台中市,西屯區,大鵬路5號,三房(48坪)、四房(52~55坪),,隨時交屋,1050,2棟，137戶住家，5戶店面,地上19層，地下4層,RC,住商用,第二種商業區,仁山開發企業股份有限公司,廚房規畫雙排一字櫃，歐洲進口板材， 配備BEST雙口爐、Ariston洗碗機及、SVAGO蒸烤箱 採用TOTO系列，主次衛浴配備免治馬桶,銘誼建築師事務所,漢忠營造,103中都建字第01880號,暫無
35,35,35,117176,?園,13~15萬元/坪,13.0,15.0,14.0,桃園市,楊梅區,金山街,二房(27~31坪)、三房(39~41坪),,2019年第三季度,961,3棟，156戶住家,地上15層，地下3層,RC,住家用,住宅區,誠佳建設股份有限公司,櫻花三機、HCG衛浴、錦鋐氣密窗、樂奇暖風機、單層排氣、永大電梯,拓璞聯合建築師事務所,萬代福營造有限公司,桃縣工建執照第會楊01356-01號,暫無
36,36,36,109990,聯上峰景,14~17萬元/坪,14.0,17.0,15.5,高雄市,楠梓區,卓越路171號,三房(38.84坪)、四房(51.34坪),隨時交屋,,991,3棟，154戶住家，8戶店面,地上15層，地下3層,暫無,住家用,暫無,聯上實業,暫無,張文明,暫無,102-1307,104-1905
37,37,37,111667,鴻邑晴山居,29~32萬元/坪,29.0,32.0,30.5,台中市,北屯區,四平路238巷(昌平路7-11旁),二房(27~30坪),,2020年10月,513,1棟，62戶住家，1戶店面,地上12層，地下2層,RC,住商用,第二種住宅區,鴻邑建設有限公司,RC鋼筋混凝土造 Derek衛浴 大雅廚具,陳彥伯建築師事務所,聚城營造有限公司,105中都建字第01890號,108中都使字第00609號
38,38,38,109971,鼎席,25~45萬元/坪,25.0,45.0,35.0,高雄市,鳳山區,新富路250號,三房(83~97坪),隨時交屋,,1383,4棟，84戶住家，10戶店面,地上23層，地下3層,暫無,住家用,暫無,永信建設開發股份有限公司,暫無,鄭純茂建築師事務所,暫無,(100)高市工建築字第03655號,(103)高市工建築使字第01616號
39,39,39,112710,大白,45萬元/坪,45.0,,45.0,台中市,西區五,權三街與五權西三街口,二房(40坪)、三房(61坪),隨時交屋,,231,1棟，18戶住家,地上10層，地下3層,RC,住家用,住三,寶鴻建設,RC鋼筋混凝土KOHLER衛浴NOBLESSA廚具YKK氣密窗,王銘鴻,瑞助營造,103-02605,暫無
40,40,40,117027,高鐵捷市城,21~22萬元/坪,21.0,22.0,21.5,台中市,烏日區,長壽路,二房(29坪)、三房(36坪)、四房(43坪),,2020年第一季度,2367,5棟，247戶住家，7戶店面,地上13層，地下2層,RC,住商用,第二種住宅區,和峻建設,櫻花廚具 HCG衛浴,吳六合建築師事務所,國城營造有限公司,105中都建字第01676號,暫無
41,41,41,116171,鑫市鎮,18~20萬元/坪,18.0,20.0,19.0,高雄市,橋頭區,經武路,二房(20坪)、三房(30坪),,2020年下半年,2170,3棟，569戶住家,地上15層，地下4層,RC,住家用,住6,龍騰建設股份有限公司,60x60拋光石英磚  凱撒衛浴設備  廚具三機櫻花  凱撒廚房水龍頭  進口米蘭人造石檯面  力霸鋁門窗  Grunbeck格溫拜克-全自動反洗淨水設備-德國原裝進口  SA級鋼筋續接器,林子森林伯諭聯合事務所,天玉營造,(106)高市工建築字第02656-01號,暫無
42,42,42,116554,瑞祥-瑞隆區,20~24.5萬元/坪,20.0,24.5,22.25,高雄市,前鎮區,班超路21號,二房(29~31坪),隨時交屋,,189.66,1棟，44戶住家，2戶店面,地上12層，地下3層,RC,住家用,第五種住宅區,永信建設開發股份有限公司,HCG衛浴、林內三機廚具(美國杜邦人造石檯面),鄭純茂,義展營造工程股份有限公司,(104)高市工建築字第01867號,(107)高市工建築使字第00424號
43,43,43,114069,京城鉅誕,32~41萬元/坪,32.0,41.0,36.5,高雄市,左營區,新榮街125號,四房(80~120坪),隨時交屋,,1542,3棟，156戶住家,地上28層，地下4層,暫無,住家用,第五種住宅區,京城建設,鋼筋混凝土+EPS制震系統；廚房配德國PRONORM頂級廚具，採雙排櫃設計，配ELECTROLUX瓦斯爐、電磁爐、烤箱及蒸爐、BOSCH洗碗機、SVAGO倒T型抽油煙機等。主臥衛浴配備日本進口INAX免治馬桶及手工彩繪面盆等,張文明,暫無,(100)高市工建築字第01320號,(103)高市工建築使字第01739號
44,44,44,112238,BEST巨蛋核心城II,26~30萬元/坪,26.0,30.0,28.0,高雄市,左營區,崇德路302號,三房(41~48坪)、四房(55~73坪),隨時交屋,,527,2棟，101戶住家，4戶店面,"地上22,23層，地下5層",暫無,住家用,暫無,晟揚建設,暫無,梁慶源,暫無,102-2662,105-1891
45,45,45,112468,艾麗,32~39萬元/坪,32.0,39.0,35.5,台中市,西屯區,福星西路VS上墩東街,三房(48坪)、四房(55坪),,2019年第四季度,548,1棟，84戶住家,地上15層，地下3層,RC,住家用,第三種住宅區,聚合發建設,STOSA廚具 TOTO衛浴 太格木地板 LOW-E玻璃 YKK氣密窗,李明哲,坤興營造,103-00169,暫無
46,46,46,110364,新潤御丰莊園,25~28萬元/坪,25.0,28.0,26.5,桃園市,八德區,建德路136號,四房(57~67坪),隨時交屋,,1300,1棟，96戶住家，6戶店面,地上25層，地下2層,暫無,住家用,暫無,新潤建設,暫無,周文斌,暫無,102-1786,暫無
47,47,47,111319,悅讀草悟道,17~19萬元/坪,17.0,19.0,18.0,高雄市,小港區,中安路308號,二房(22~27坪)、三房(37坪)、四房(47坪),隨時交屋,,850,3棟，130戶住家，8戶店面,地上15層，地下2層,RC,住家用,住三,泰郡建設,Roca衛浴、宏國廚具、永大電梯　,梁慶源,暫無,(103)高市工建築字第02858,(106)高市工建築使字第01332號
48,48,48,117118,御春城,45~49萬元/坪,45.0,49.0,47.0,新北市,新莊區,福美街177~187號,二房(31.21坪)、三房(46~50坪),隨時交屋,,1051.54,1棟，108戶住家，11戶店面,地上19層，地下3層,RC,住商用,第二種住宅區,廣春成建設股份有限公司,林內三機廚具、TOTO衛浴、冠軍80*80室內拋光石英磚、義大利五段式防爆鎖、FTTH光纖到府、YKK氣密窗,曾聰憲建築師事務所,春城營造股份有限公司,104莊建字第00162號,107莊使字第00314號
49,49,49,115399,日日向上,17.2萬元/坪,17.2,,17.2,台中市,沙鹿區,向上路六段,一房(16坪)、二房(27坪),,2020年上半年,328.5,5棟，32戶住家，4戶店面,地上7層，地下2層,RC,住商用,第二種住宅區,昇揚開發實業有限公司,TAYA廚具BADEBOSS衛浴,王紹述,建基營造股份有限公司,103中都建字第01171號,暫無
50,50,50,111755,捷運儷境,20~22萬元/坪,20.0,22.0,21.0,新北市,淡水區,新市二路、後洲路口,二房(30~33坪)、三房(40~45坪),隨時交屋,,1557.7,2棟，226戶住家,地上15層，地下3層,RC,住家用,暫無,勝旺建設,暫無,蔡智勸建築師事務所,暫無,建103-0190,暫無
51,51,51,112229,超級城市Super讚,34~36萬元/坪,34.0,36.0,35.0,新北市,板橋區,新崑路88號旁,二房(22~26坪)、三房(33~39坪),隨時交屋,,2071,3棟，294戶住家，6戶店面,地上15層，地下3層,RC,住家用,暫無,中德建設,和成衛浴、櫻花廚具、panasonic暖風機,森峰聯合建築,暫無,104-00032,暫無
52,52,52,117109,全民大樂,15~19萬元/坪,15.0,19.0,17.0,高雄市,三民區,鼎勇街67號,二房(31.73坪)、三房(44.19~47.37坪)、四房(50.40坪),隨時交屋,,769.77,1棟，81戶住家，2戶店面,地上12層，地下2層,RC,住家用,第三種住宅區,佃坤建設,Derek衛浴(四合一暖風機)、櫻花廚具(LG檯面)、太陽能板、60*60cm拋光石英磚、hometek對講機,陳清富,忠成工程企業有限公司,(104)高市工建築字第02674號,(107)高市工建築使字第00962號
53,53,53,106477,江左風華,39~42萬元/坪,39.0,42.0,40.5,新北市,中和區,中原二街65號,四房(68~70坪),隨時交屋,,540.31,1棟，39戶住家,地上14層，地下3層,暫無,住家用,暫無,馥都機構城典建設,暫無,黃武達建築師事務所,暫無,101-0024,103-0318
54,54,54,112766,法吉歐里-藝德勳章5,27~39萬元/坪,27.0,39.0,33.0,宜蘭縣,宜蘭市,農權路三段163巷,二房(23~25坪)、三房(45坪),,時間待定,2404,3棟，253戶住家,"地上14,18層，地下2層",暫無,住家用,暫無,怡華實業股份有限公司(1456),來電洽詢,陳明偉建築師,暫無,106.1.17建管建字第00027號,暫無
55,55,55,111867,樂陶陶,19~23萬元/坪,19.0,23.0,21.0,新北市,鶯歌區,高職南路2號,二房(28坪)、三房(42~48坪)、四房(63坪),隨時交屋,,607.04,1棟，87戶住家，4戶店面,地上14層，地下3層,RC,住家用,住一,海山大地建設,暫無,周劍平建築師事務所,暫無,建102-0757,使105-0282
56,56,56,115036,ihome5,26~30萬元/坪,26.0,30.0,28.0,高雄市,左營區,新莊一路,二房(19.11~31.46坪),隨時交屋,,219,1棟，70戶住家，1戶店面，1戶辦公室,地上12層，地下3層,RC,住家用,第五種住宅區,祐陞建設實業有限公司,廚具：櫻花、衛浴：TOTO、4合1暖風機、BOSS無鉛龍頭、冠軍磁磚、5mm+5mm膠合玻璃、單層排氣、總存水彎、美國Erie壓差式全自動反洗過濾系統 ,梁慶源建築師事務所,日祥營造股份有限公司,(104)高市工建築字第00666-02號,暫無
57,57,57,107421,朗廷會,36~38萬元/坪,36.0,38.0,37.0,新北市,林口區,文化三路二段91號,二房(51~52坪)、2+1房(51~52坪),隨時交屋,,537.82,1棟，68戶住家，3戶店面,地上19層，地下3層,RC,住商用,第五種住宅區,聯京建設開發、京懋建設,依現場為主,林永發建築師事務所,京騰營造股份有限公司,建103-0695,使107-00414
58,58,58,117812,若樸,25~28萬元/坪,25.0,28.0,26.5,高雄市,左營區,文學路657號,二房(30~31坪)、三房(37~42坪),隨時交屋,,336.7,1棟，65戶住家，1戶店面,地上14層，地下2層,RC,住家用,住五,合心開發股份有限公司,1.高雄厝設計2.全棟防水3.全戶浴室開窗4.水錘吸收器5.三合一防火鑄鋁綱木門6.輕隔間乾式施工15+9mm7.室內地磚-馬可貝里拋光石英磚8.和成牌智慧馬桶、多功能暖風機9.單層排氣系統,朱文明,龍進營造,(105)高市工建築字第00163號,(107)高市工建築使字第01618號
59,59,59,110651,自由雲鼎,22~25萬元/坪,22.0,25.0,23.5,高雄市,左營區,自由四路372號,四房(64~75坪),隨時交屋,,763,2棟，98戶住家，3戶店面,地上18層，地下3層,RC,住商用,住四,龍騰建設,暫無,弘憲建築師事務所,天玉營造有限公司（甲級）,(103)高市工建築字第00207號,(105)高市工建築使字第00030號
60,60,60,114372,富宇豐田,25萬元/坪,25.0,,25.0,台中市,豐原區,愛國街,二房(23~30坪)、三房(38坪),,2019年12月,360,1棟，66戶住家，2戶店面,地上12層，地下3層,暫無,住商用,暫無,富宇建設,RC鋼筋混凝土TOTO衛浴大雅廚具,吳六合,暫無,105-01147,暫無
61,61,61,112012,水美奇岩,69~72萬元/坪,69.0,72.0,70.5,台北市,北投區,三合街一段,3+1房(85坪),隨時交屋,,503.02,1棟，28戶住家,地上8層，地下3層,RC,住家用,第三種住宅區,福美開發股份有限公司,RC鋼筋混凝土,金以容、林弘壹、朱弘楠建築師事務所,春暉營造股份有限公司,103建字第0089號,106使字第0066號
62,62,62,110721,靜?漢神,20~25萬元/坪,20.0,25.0,22.5,高雄市,左營區,文萊路18巷1號,2+1房(32~33坪),隨時交屋,,270,1棟，34戶住家,地上12層，地下2層,RC,住家用,第三種住宅區,和慶建設,暫無,賴平順建築師事務所,慶朗營造有限公司,(102)高市工建築字第03536號,105年00974號
63,63,63,112151,圓山大院,17.8~26萬元/坪,17.8,26.0,21.9,高雄市,鳥松區,澄明街202號,二房(25坪)、三房(46坪)、四房(58坪),隨時交屋,,1709,3棟，195戶住家,地上15層，地下2層,RC,住家用,住三,京城建設股份有限公司,大門使用YALE電子鎖，衛浴採用Villeroy&Boch、GROHE、KARAT等進口配備，廚房則使用林內牌、西班牙賽麗石、AICA與Electrolux品牌配備,林子森,暫無,(103)高市工建築字第02019-02,(106)高市工建築使字第00909號
64,64,64,119751,高雄CBD,25~37萬元/坪,25.0,37.0,31.0,高雄市,新興區,六合路(近民族路口),開放格局(55~330坪),,2022年9月,535.01,1棟，136戶一般事務所，2戶店面,地上35層，地下6層,RC,商業用,商五,興富發建設股份有限公司,暫無,玫格設計、李天鐸、謝慶旺,齊裕營造股份有限公司,(107)高市工建築字第00004-01號,暫無
65,65,65,116548,漾CITY,16~19萬元/坪,16.0,19.0,17.5,高雄市,楠梓區,金和街vs金富街(海科大旁),二房(21.96~23.16坪)、三房(29.5~40.26坪),,2019年11月,1187.91,2棟，224戶住家,地上15層，地下2層,RC,住家用,第三種住宅區,達麗建設事業股份有限公司,暫無,原東聯合建築師事務所,寶信營造股份有限公司,(106)高市工建築字第02433號,暫無
66,66,66,112826,沐東風,30~36萬元/坪,30.0,36.0,33.0,台南市,東區德,昌路,三房(61坪)、四房(70~80坪)、開放格局(110~150坪),,隨時交屋,1341,2棟，66戶住家,地上13層，地下2層,RC,住家用,暫無,和通建設,鋼筋混凝土構造、日本住友制震壁、日本TOSTEM；衛浴：德國V&B衛浴；廚具：LEICHT德國原裝廚具,許榮江、劉偉彥建築師,暫無,104-1907-03,暫無
